datetime_local,UVI_clear_sky,UVI_all_sky,E_ery_Wm2,dose_Jm2,dose_SED
2025-12-21 00:00:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:01:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:02:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:03:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:04:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:05:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:06:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:07:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:08:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:09:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:10:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:11:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:12:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:13:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:14:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:15:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:16:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:17:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:18:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:19:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:20:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:21:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:22:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:23:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:24:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:25:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:26:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:27:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:28:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:29:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:30:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:31:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:32:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:33:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:34:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:35:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:36:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:37:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:38:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:39:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:40:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:41:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:42:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:43:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:44:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:45:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:46:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:47:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:48:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:49:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:50:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:51:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:52:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:53:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:54:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:55:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:56:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:57:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:58:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 00:59:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:00:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:01:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:02:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:03:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:04:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:05:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:06:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:07:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:08:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:09:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:10:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:11:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:12:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:13:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:14:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:15:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:16:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:17:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:18:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:19:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:20:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:21:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:22:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:23:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:24:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:25:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:26:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:27:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:28:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:29:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:30:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:31:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:32:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:33:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:34:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:35:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:36:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:37:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:38:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:39:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:40:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:41:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:42:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:43:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:44:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:45:00+11:00,0.0,0.0,0.0,0.0,0.0
2025-12-21 01:46:00+11:00,0.0,0.0,0.0,0.0,0.0
